Mouse Name,Sex,Diet,Weight1,Weight2
F01,F,HF,31.94,35.46
F02,F,HF,32.48,35.76
F03,F,HF,22.82,24.12
F04,F,HF,19.92,21.09
F05,F,HF,32.22,39.38
F06,F,HF,27.5,35.3
F07,F,HF,27,31.46
F08,F,HF,36.44,48.49
F09,F,HF,19.39,21.25
F10,F,HF,23.16,27.95
F11,F,HF,24.29,23.26
F12,F,HF,18.78,22.97
F13,F,HF,25.43,29.72
F14,F,HF,24.3,27.79
F15,F,HF,33.9,40.15
F16,F,HF,31.47,39.59
F17,F,HF,32.01,33.39
F18,F,HF,18.52,25.3
F19,F,HF,26.56,30.85
F20,F,HF,25.41,30.77
F21,F,HF,29.18,33.77
F22,F,HF,25.3,32.19
F23,F,HF,29.64,33.23
F24,F,HF,20.73,26.67
F25,F,HF,28.26,33.97
F26,F,chow,27.03,28.29
F27,F,chow,24.08,22.13
F28,F,chow,27.07,28.6
F29,F,chow,28.07,29.78
F30,F,chow,23.55,34.99
F31,F,chow,22.72,29.07
F32,F,chow,24.82,26.71
F33,F,chow,21.6,30.58
F34,F,chow,26.6,29.08
F35,F,chow,26,32.48
F36,F,chow,19.24,20.49
F37,F,chow,21.34,22.5
F38,F,chow,22.73,23.23
F39,F,chow,20.12,22.53
F40,F,chow,20.6,22.79
F41,F,chow,21.49,24.18
F42,F,chow,24.73,28.45
F43,F,chow,27.92,29.15
F44,F,chow,27.51,31.8
F45,F,chow,19.88,23.52
F46,F,chow,20.72,26
F47,F,chow,24,26.22
F48,F,chow,25.08,26.81
F49,F,chow,25.27,30.02
F50,F,chow,22.08,25.62
F51,F,chow,20.66,24.51
F52,F,chow,25.28,26.51
F53,F,chow,19.36,22.72
F54,F,chow,18.56,19.14
F55,F,chow,32.71,36.23
F56,F,chow,21.59,24.15
F57,F,chow,30.55,37.78
F58,F,chow,21.32,27.04
F59,F,chow,28,39.57
F60,F,chow,23.09,24.02
F61,F,chow,25.92,27.84
F62,F,chow,36.82,42.55
F63,F,chow,26.53,31.47
F64,F,chow,22.87,28.96
F65,F,chow,28.1,32.06
F66,F,chow,23.53,27.13
F67,F,chow,21.22,23.79
F68,F,chow,22.92,24.07
F69,F,chow,24.65,25.81
F70,F,chow,24.37,32
F71,F,chow,22.02,24.76
F72,F,chow,27.72,29.96
F73,F,chow,21.6,NA
F74,F,chow,24.26,NA
F75,F,chow,22.27,26.29
M01,M,HF,27.81,34.08
M02,M,HF,38.26,44.25
M03,M,HF,35.26,41.83
M04,M,HF,31.25,35.94
M05,M,HF,29.45,38.08
M06,M,HF,29.06,32.9
M07,M,HF,42.8,48.04
M08,M,HF,32.34,42.28
M09,M,HF,NA,NA
M10,M,HF,NA,NA
M11,M,HF,35.48,40.45
M12,M,HF,33.05,40.66
M13,M,HF,37.06,47.25
M14,M,HF,29.71,35.99
M15,M,HF,34.4,43.34
M16,M,HF,39.42,49.62
M17,M,HF,36.32,47.09
M18,M,HF,41.48,48.43
M19,M,HF,46.27,56.55
M20,M,HF,37.48,44.46
M21,M,HF,36.34,44.81
M22,M,HF,26.7,32.62
M23,M,HF,36.77,46.56
M24,M,HF,41.83,46.15
M25,M,HF,37.89,43.23
M26,M,chow,45.23,53.36
M27,M,chow,22.08,33.35
M28,M,chow,34.03,39.19
M29,M,chow,24.98,28.63
M30,M,chow,28.56,39
M31,M,chow,29.32,32.24
M32,M,chow,39.16,43.25
M33,M,chow,32.04,33.84
M34,M,chow,32.09,33.86
M35,M,chow,24.16,27.85
M36,M,chow,27.38,39.55
M37,M,chow,30.29,37.27
M38,M,chow,36.79,40.16
M39,M,chow,28.63,35.65
M40,M,chow,31.01,43.97
M41,M,chow,32.11,35.6
M42,M,chow,31.22,37.06
M43,M,chow,32.05,34.4
M44,M,chow,24.58,27.69
M45,M,chow,35.15,40.55
M46,M,chow,30.71,41.48
M47,M,chow,32.81,33.84
M48,M,chow,33.96,30.7
M49,M,chow,29.34,33.2
M50,M,chow,31.56,38.27
M51,M,chow,35.19,NA
M52,M,chow,36.65,45
M53,M,chow,37.86,42.63
M54,M,chow,25.06,25.69
M55,M,chow,32.57,34.27
M56,M,chow,30.09,33.81
M57,M,chow,31.95,36.46
M58,M,chow,28.92,36.69
M59,M,chow,37.16,39.17
M60,M,chow,34.34,37.4
M61,M,chow,35.05,39.84
M62,M,chow,33.8,38.54
M63,M,chow,29.91,34.71
M64,M,chow,32.67,36.9
M65,M,chow,32.59,34.54
M66,M,chow,31.8,36.68
M67,M,chow,34.68,NA
M68,M,chow,31.82,32.26
M69,M,chow,39.13,NA
M70,M,chow,24.08,NA
M71,M,chow,34.21,NA
M72,M,chow,32.32,NA
M73,M,chow,23.54,26.25
M74,M,chow,38.54,46
M75,M,chow,26.27,31.11
